Date,Portfolio Value
2024-04-10,9161.051091229792
2024-04-11,9273.623804201769
2024-04-12,9128.201044439444
2024-04-15,9032.929279234928
2024-04-16,9068.136111129073
2024-04-17,8962.931139366527
2024-04-18,8911.368142586161
2024-04-19,8746.76051155162
2024-04-22,8774.93521792516
2024-04-23,8975.240551996689
2024-04-24,8947.181792246514
2024-04-25,8963.174098274914
2024-04-26,9056.967819929527
2024-04-29,9111.403755252391
2024-04-30,8941.105284676873
2024-05-01,8898.962253126334
2024-05-02,8979.540535792943
2024-05-03,9091.70444001817
2024-05-06,9303.818002182823
2024-05-07,9161.032490702508
2024-05-08,9165.424508523018
2024-05-09,9179.72411503338
2024-05-10,9156.76758448004
2024-05-13,9101.93181604101
2024-05-14,9174.910043159674
2024-05-15,9339.495680219805
2024-05-16,9276.319090593131
2024-05-17,9305.508286149288
2024-05-20,9338.80324698436
2024-05-21,9353.764976469674
2024-05-22,9297.512518426412
2024-05-23,9253.503105246244
2024-05-24,9337.60749421328
2024-05-28,9379.681771134494
2024-05-29,9289.623410022861
2024-05-30,9245.461749063823
2024-05-31,9243.399844757292
2024-06-03,9213.44274630916
2024-06-04,9201.10632779208
2024-06-05,9370.50785527541
2024-06-06,9383.039110508154
2024-06-07,9315.120670304264
2024-06-10,9377.701572894974
2024-06-11,9372.06949965544
2024-06-12,9443.596084316028
2024-06-13,9425.986998164768
2024-06-14,9456.1002144927
2024-06-17,9627.979812770824
2024-06-18,9709.569833829075
2024-06-20,9676.790288435128
2024-06-21,9542.90988551654
2024-06-24,9482.043860110947
2024-06-25,9529.923375257547
2024-06-26,9500.386636500138
2024-06-27,9575.802995033055
2024-06-28,9562.54591460596
2024-07-01,9609.093015912002
2024-07-02,9685.076701741913
2024-07-03,9777.909618673519
2024-07-05,9860.70933570408
2024-07-08,9897.332425201499
2024-07-09,9912.186499972882
2024-07-10,10018.81659270275
2024-07-11,9904.939438775991
2024-07-12,9931.234631341464
2024-07-15,10005.023693120842
2024-07-16,10102.211856736825
2024-07-17,9837.172200966328
2024-07-18,9811.451971255548
2024-07-19,9725.172759940104
2024-07-22,9846.306459862382
2024-07-23,9924.536655211352
2024-07-24,9553.055584089769
2024-07-25,9493.85297110415
2024-07-26,9634.799207079755
2024-07-29,9627.941949339442
2024-07-30,9535.277941597997
2024-07-31,9770.530732217368
2024-08-01,9569.152268754817
2024-08-02,9275.705065148964
2024-08-05,9085.43985518177
2024-08-06,9269.199788371592
2024-08-07,9189.715950560516
2024-08-08,9534.229872119055
2024-08-09,9624.273705528427
2024-08-12,9642.32938727631
2024-08-13,9801.081877602886
2024-08-14,9844.553394671839
2024-08-15,10004.579120551203
2024-08-16,10075.809562805587
2024-08-19,10168.581941500635
2024-08-20,10150.929227758425
2024-08-21,10190.091169772862
2024-08-22,10077.89595900436
2024-08-23,10173.05928706059
2024-08-26,10092.651845309707
2024-08-27,10115.240572571194
2024-08-28,10043.619698275215
2024-08-29,10082.14596955048
2024-08-30,10184.574971348231
2024-09-03,9920.135712997899
2024-09-04,9944.914687607128
2024-09-05,9898.810799403964
2024-09-06,9732.015057806348
2024-09-09,10002.935076024587
2024-09-10,10049.49268233003
2024-09-11,10120.246981423781
2024-09-12,10245.337526852261
2024-09-13,10383.279475685727
2024-09-16,10441.732128591699
2024-09-17,10433.361484760495
2024-09-18,10419.14951303797
2024-09-19,10607.7526724044
2024-09-20,10673.26680345849
2024-09-23,10754.785943425493
2024-09-24,10768.024864913277
2024-09-25,10782.04180072183
2024-09-26,10770.089863211766
2024-09-27,10725.911613417968
2024-09-30,10769.287631999945
2024-10-01,10712.635312498105
2024-10-02,10751.760843403763
2024-10-03,10767.334424842305
2024-10-04,10883.891834858518
2024-10-07,10771.332049593027
2024-10-08,10910.32650646025
2024-10-09,11009.040853285882
2024-10-10,11001.491391264244
2024-10-11,11082.853494062823
2024-10-14,11129.648679761918
2024-10-15,11038.61522533989
2024-10-16,11096.094428976732
2024-10-17,11113.877188528168
2024-10-18,11185.156389909265
2024-10-21,11167.62317649696
2024-10-22,11061.360231189017
2024-10-23,11037.081271702078
2024-10-24,11115.627816214195
2024-10-25,11135.425850513744
2024-10-28,11130.724526072418
2024-10-29,11130.848377248076
2024-10-30,11070.757559324098
2024-10-31,10860.484210339182
2024-11-01,10844.793258625707
2024-11-04,10801.425865308847
2024-11-05,11263.835451415956
2024-11-06,11584.829838968817
2024-11-07,11645.164347727725
2024-11-08,11879.02940658207
2024-11-11,11927.046327972195
2024-11-12,11825.238033022579
2024-11-13,11830.153986786001
2024-11-14,11656.308797480364
2024-11-15,11846.907971125831
2024-11-18,11787.690122898668
2024-11-19,11912.089732293469
2024-11-20,11908.621605002725
2024-11-21,11962.8141644483
2024-11-22,12158.400604967368
2024-11-25,12071.362448844226
2024-11-26,12189.437779246036
2024-11-27,12149.385982092146
2024-11-29,12263.50364943946
2024-12-02,12173.204070874252
2024-12-03,12331.326403939385
2024-12-04,12355.164981683163
2024-12-05,12360.507189609933
2024-12-06,12581.51774175814
2024-12-09,12315.415435220943
2024-12-10,12249.588792537044
2024-12-11,12398.88786647438
2024-12-12,12314.098480935443
2024-12-13,12483.311949557956
2024-12-16,12552.301457449821
2024-12-17,12454.455666652839
2024-12-18,12021.048949067499
2024-12-19,12141.599318200006
2024-12-20,12489.28435797702
2024-12-23,12524.17477220518
2024-12-24,12720.517670870391
2024-12-26,12728.093608611782
2024-12-27,12497.328550583044
2024-12-30,12324.925785429197
2024-12-31,12233.67280054162
2025-01-02,12251.828581583417
2025-01-03,12547.261058930015
2025-01-06,12428.353673456892
2025-01-07,12136.163935743896
2025-01-08,12116.154385003147
2025-01-10,12008.82108131505
2025-01-13,11919.56247215084
2025-01-14,12052.299602604522
2025-01-15,12323.250581295166
2025-01-16,12394.701721456015
2025-01-17,12590.672636073681
2025-01-21,12784.47578119253
2025-01-22,12941.498230012221
2025-01-23,13135.993346656636
2025-01-24,13099.22673564133
2025-01-27,12703.500782167976
2025-01-28,12941.59163479337
2025-01-29,12937.525928205952
2025-01-30,13172.979438098479
2025-01-31,13188.938127007172
2025-02-03,13213.634955705911
2025-02-04,13954.957542191232
2025-02-05,13979.748041754141
2025-02-06,14380.875888638611
2025-02-07,14310.135401359907
2025-02-10,14585.623985208491
2025-02-11,14408.609166025648
2025-02-12,14575.950816338594
2025-02-13,14701.487404818297
2025-02-14,14723.606966352647
